fecha,indicativo,nombre,provincia,prec,velmedia,sol,longitud,latitud
09/2017,4452,BADAJOZ AEROPUERTO,BADAJOZ,0.0,2.26,11.26,-6.813888888888889,38.88333333333333
09/2017,4511C,JEREZ DE LOS CABALLEROS,BADAJOZ,0.0,3.569565217391304,11.306666666666667,-6.765,38.29861111111111
09/2017,4549Y,AYAMONTE,HUELVA,0.0,2.420689655172414,,-7.3950000000000005,37.19472222222222
09/2017,4560Y,ALAJAR,HUELVA,0.0,3.143333333333333,,-6.675000000000001,37.868611111111115
09/2017,4642E,"HUELVA, RONDA ESTE",HUELVA,0.0,3.4733333333333336,11.229999999999999,-6.911666666666667,37.27833333333333
09/2017,5000C,CEUTA,CEUTA,1.4,2.9166666666666665,7.65,-5.3469444444444445,35.88861111111111
09/2017,5038X,CAZORLA,JAEN,0.0,0.9366666666666668,,-3.003888888888889,37.91583333333333
09/2017,5047E,BAZA,GRANADA,0.0,3.0300000000000002,9.05,-2.735,37.505833333333335
09/2017,5051X,HUÉSCAR,GRANADA,0.0,2.2857142857142856,8.18,-2.6527777777777777,37.861111111111114
09/2017,5181D,ARROYO DEL OJANCO,JAEN,0.0,2.4814814814814814,,-2.8897222222222223,38.31472222222222
09/2017,5192,VILLARRODRIGO,JAEN,0.0,2.4250000000000003,10.17,-2.6375,38.48916666666667
09/2017,5246,SANTA ELENA,JAEN,0.0,1.9733333333333334,9.54,-3.5352777777777775,38.34444444444445
09/2017,5270B,JAÉN,JAEN,0.0,2.2199999999999998,9.436666666666667,-3.8091666666666666,37.777499999999996
09/2017,5298X,ANDÚJAR,JAEN,0.0,1.5533333333333335,,-4.0633333333333335,38.02305555555555
09/2017,5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,0.0,2.52,,-4.608888888888888,38.33305555555556
09/2017,5402,CÓRDOBA AEROPUERTO,CORDOBA,0.0,1.8466666666666667,9.206666666666667,-4.846666666666667,37.848888888888894
09/2017,5427X,DOÑA MENCÍA,CORDOBA,0.0,2.4875000000000003,,-4.353888888888888,37.55611111111111
09/2017,5514,GRANADA BASE AÉREA,GRANADA,0.3,4.7,10.013333333333332,-3.631388888888889,37.13722222222222
09/2017,5530E,GRANADA AEROPUERTO,GRANADA,0.9,2.35,10.766666666666667,-3.789722222222222,37.19027777777777
09/2017,5582A,LOJA,GRANADA,0.0,1.9366666666666668,,-4.152777777777779,37.16111111111111
09/2017,5612B,LA RODA DE ANDALUCÍA,SEVILLA,0.0,2.856666666666667,,-4.77,37.19444444444444
09/2017,5641X,ÉCIJA,SEVILLA,0.0,2.0566666666666666,,-5.085,37.51611111111111
09/2017,5704B,CAZALLA DE LA SIERRA,SEVILLA,0.0,1.54,,-5.769722222222222,37.92638888888889
09/2017,5783,SEVILLA AEROPUERTO,SEVILLA,0.0,2.393333333333333,10.936666666666667,-5.879166666666667,37.416666666666664
09/2017,5796,MORÓN DE LA FRONTERA,SEVILLA,0.7,1.8666666666666667,9.553333333333335,-5.6113888888888885,37.16444444444444
09/2017,5860E,"MOGUER, EL ARENOSILLO",HUELVA,0.0,2.4366666666666665,,-6.7380555555555555,37.09805555555556
09/2017,5910,"ROTA, BASE NAVAL",CADIZ,1.2999999999999998,3.6266666666666665,9.926666666666668,-6.3325,36.638888888888886
09/2017,5911A,GRAZALEMA,CADIZ,4.3,1.57,,-5.3741666666666665,36.760555555555555
09/2017,5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,1.5,2.8466666666666662,10.483333333333333,-6.055833333333333,36.75055555555556
09/2017,5972X,SAN FERNANDO,CADIZ,0.8999999999999999,3.2666666666666666,,-6.205555555555556,36.46555555555556
09/2017,5973,CÁDIZ,CADIZ,0.7,3.76,,-6.257777777777778,36.499722222222225
09/2017,5995B,VEJER DE LA FRONTERA,CADIZ,1.1,3.4366666666666665,,-5.965,36.245555555555555
09/2017,6000A,MELILLA,MELILLA,0.4,3.213793103448276,8.436666666666666,-2.956388888888889,35.27638888888889
09/2017,6001,TARIFA,CADIZ,1.7000000000000002,6.317241379310344,,-5.598888888888888,36.013888888888886
09/2017,6058I,ESTEPONA,MALAGA,3.6,2.6518518518518515,10.466666666666667,-5.155,36.41694444444444
09/2017,6084X,FUENGIROLA,MALAGA,1.3,1.9466666666666665,,-4.618333333333334,36.53861111111111
09/2017,6106X,ANTEQUERA,MALAGA,0.0,1.95,,-4.748333333333333,37.029444444444444
09/2017,6155A,MÁLAGA AEROPUERTO,MALAGA,1.5,3.603333333333333,9.903333333333334,-4.482222222222222,36.66611111111111
09/2017,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,1.1,2.58,,-4.4816666666666665,36.717777777777776
09/2017,6277B,ADRA,ALMERIA,0.0,2.127586206896552,,-3.0205555555555557,36.74722222222222
09/2017,6293X,ROQUETAS DE MAR,ALMERIA,0.0,,,-2.7016666666666667,36.68694444444444
09/2017,6302A,ABLA,ALMERIA,0.0,2.1666666666666665,,-2.78,37.14138888888889
09/2017,6325O,ALMERÍA AEROPUERTO,ALMERIA,0.0,3.94,9.706666666666667,-2.3569444444444447,36.84638888888889
09/2017,6332X,CARBONERAS,ALMERIA,0.0,4.916666666666667,10.392307692307693,-1.903611111111111,36.98027777777778
09/2017,6367B,HUÉRCAL-OVERA,ALMERIA,2.6999999999999997,1.8413793103448275,,-1.9436111111111112,37.39055555555556
09/2017,7002Y,ÁGUILAS,MURCIA,0.0,2.4099999999999997,10.076666666666666,-1.5869444444444445,37.41722222222222
09/2017,7012C,CARTAGENA,MURCIA,0.2,2.0233333333333334,,-0.9877777777777778,37.60111111111111
09/2017,7031,SAN JAVIER AEROPUERTO,MURCIA,1.1,,9.39655172413793,-0.8033333333333333,37.788888888888884
09/2017,7031X,SAN JAVIER AEROPUERTO,MURCIA,0.4,4.448275862068965,10.083333333333334,-0.8058333333333334,37.77833333333333
09/2017,7096B,HELLÍN,ALBACETE,3.5,2.11,,-1.7030555555555555,38.54194444444444
09/2017,7119B,CARAVACA DE LA CRUZ,MURCIA,1.2,2.1599999999999997,7.8133333333333335,-1.8772222222222223,38.1025
09/2017,7145D,CIEZA,MURCIA,7.0,3.1266666666666665,,-1.3805555555555555,38.23277777777778
09/2017,7178I,MURCIA,MURCIA,0.9,2.396666666666667,9.756666666666666,-1.1708333333333334,38.00194444444445
09/2017,7209,LORCA,MURCIA,0.7,1.1933333333333331,,-1.6872222222222222,37.65472222222222
09/2017,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,2.5,2.7766666666666664,8.979999999999999,-1.2286111111111113,37.95777777777778
09/2017,7247X,EL PINÓS/PINOSO,ALICANTE,33.400000000000006,1.85,,-1.0380555555555557,38.39972222222222
09/2017,7275C,YECLA,MURCIA,8.0,2.589655172413793,9.271428571428572,-1.159722222222222,38.60166666666667
09/2017,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,18.3,3.7333333333333334,,-0.5708333333333333,38.282777777777774
09/2017,8025,ALACANT/ALICANTE,ALICANTE,31.1,2.2800000000000002,10.246666666666666,-0.49416666666666664,38.3725
09/2017,8050X,JÁVEA/ XÀBIA,ALICANTE,42.599999999999994,2.7933333333333334,8.413793103448276,0.16777777777777778,38.78361111111111
09/2017,8058X,OLIVA,VALENCIA,8.9,2.0681818181818183,,-0.09583333333333333,38.928888888888885
09/2017,8096,CUENCA,CUENCA,2.4,1.59,,-2.1319444444444446,40.06722222222223
09/2017,8175,ALBACETE BASE AÉREA,ALBACETE,1.9,3.3400000000000003,10.33,-1.856388888888889,38.95416666666667
09/2017,8177A,CHINCHILLA,ALBACETE,15.1,3.6166666666666667,,-1.66,38.93583333333333
09/2017,8178D,ALBACETE,ALBACETE,2.5,1.1833333333333333,10.1,-1.8627777777777779,39.005833333333335
09/2017,8293X,XÀTIVA,VALENCIA,9.0,2.3766666666666665,8.403333333333332,-0.5236111111111111,39.001666666666665
09/2017,8309X,UTIEL,VALENCIA,5.2,3.0448275862068965,9.56,-1.2447222222222223,39.57555555555556
09/2017,8325X,POLINYÀ DE XÚQUER,VALENCIA,23.2,2.0433333333333334,,-0.3719444444444444,39.18472222222222
09/2017,8368U,TERUEL,TERUEL,40.6,1.4666666666666666,8.956666666666667,-1.1241666666666668,40.35055555555556
09/2017,8414A,VALENCIA AEROPUERTO,VALENCIA,8.5,3.69,8.716666666666667,-0.4747222222222222,39.485
09/2017,8416,VALÈNCIA,VALENCIA,6.0,,8.17,-0.3663888888888889,39.480555555555554
09/2017,8416Y,"VALÈNCIA, VIVEROS",VALENCIA,4.199999999999999,1.6966666666666665,,-0.3663888888888889,39.480555555555554
09/2017,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,22.2,3.3344827586206898,8.05,-0.25583333333333336,40.43333333333333
09/2017,8500A,CASTELLÓ - ALMASSORA,CASTELLON,9.6,2.3800000000000003,8.773333333333333,-0.07194444444444445,39.95722222222223
09/2017,8523X,VINARÒS,CASTELLON,9.6,2.5566666666666666,,0.4297222222222222,40.55416666666667
09/2017,9001D,REINOSA,CANTABRIA,2.9,2.426923076923077,,-4.160555555555556,42.99194444444444
09/2017,9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,4.8,1.2,,-3.933888888888889,42.80638888888888
09/2017,9051,MEDINA DE POMAR,BURGOS,9.0,1.78,6.930000000000001,-3.4827777777777778,42.919999999999995
09/2017,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,17.7,2.46,6.47,-2.735,42.88194444444444
09/2017,9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA,17.9,2.4633333333333334,6.816666666666666,-2.7327777777777778,42.871944444444445
